wavelength,00:00:00.000,00:00:22.975,00:00:45.958,00:01:08.948,00:01:31.929,00:01:54.909,00:02:17.891,00:02:40.876,00:03:03.856,00:03:26.841,00:03:49.826,00:04:12.811,00:04:35.799,00:04:58.777,00:05:21.760,00:05:44.746,00:06:07.733,00:06:30.720,00:06:53.705,00:07:16.686,00:07:39.671,00:08:02.650,00:08:25.637,00:08:48.622,00:09:11.602,00:09:34.582,00:09:57.567,00:10:20.555,00:10:43.550,00:11:06.535
304,68.083908,35.872944,49.87529,29.064579,65.983551,53.217102,69.795876,84.461365,69.418915,80.413765,92.176804,67.678543,53.075375,70.391098,87.128586,79.237465,111.184753,59.098618,103.704597,92.066307,101.850937,64.3395,68.775482,54.878132,103.545891,31.340616,66.062889,104.364975,33.424023,75.204079
305,67.910301,34.321266,49.592194,28.119152,65.325188,52.489311,68.690178,82.917702,68.528198,79.318764,91.01503,66.584869,52.561272,69.565865,85.21505,78.149139,110.340813,58.337444,102.477386,91.188965,101.769432,62.62624,68.030342,54.708527,103.029076,29.672777,65.049339,102.495483,32.737621,75.131943
306,67.73864,32.787113,49.312275,27.184408,64.674309,51.769756,67.597023,81.391487,67.647606,78.236183,89.86644,65.503555,52.052952,68.749939,83.323105,77.073158,109.506409,57.584885,101.264107,90.321564,101.688889,60.932343,67.293633,54.540852,102.518135,28.023775,64.047295,100.647141,32.059013,75.060646
307,67.633873,31.408745,49.126274,26.177647,64.144638,50.948158,66.686371,80.120338,66.937988,77.494301,88.924988,64.638069,51.372715,68.206055,81.832642,76.117958,109.18853,56.786518,100.369766,89.886612,101.948524,59.584187,66.745407,54.313732,102.136826,26.626163,63.177452,99.337952,31.428425,74.967995
308,67.933914,30.880167,49.505817,24.642673,64.320984,49.427574,66.829407,80.321999,67.2276,78.79879,89.187256,65.035965,49.572998,69.299927,82.702492,75.831322,112.038895,55.639023,101.374702,92.090744,104.333473,60.263237,67.317696,53.700226,102.52581,26.668406,63.053738,101.255394,31.042942,74.735542
309,68.243103,30.33556,49.896896,23.061005,64.502724,47.860756,66.976845,80.529846,67.526031,80.14299,89.45755,65.445984,47.718483,70.427094,83.598785,75.536003,114.976051,54.456612,102.410225,94.361923,106.790977,60.962967,67.907379,53.068104,102.926628,26.711924,62.926308,103.231239,30.645752,74.495979
310,68.561836,29.774096,50.300079,21.43042,64.690018,46.245495,67.12883,80.744102,67.833687,81.528694,89.73616,65.868668,45.806625,71.589096,84.522812,75.231514,118.00399,53.23764,103.47776,96.703308,109.32444,61.684349,68.515282,52.416386,103.339844,26.756796,62.794888,105.268158,30.236259,74.249046
311,68.251472,29.130318,50.115894,22.456398,64.259155,45.516541,67.787827,80.588669,68.019653,80.44529,89.041939,66.332024,45.279739,71.148178,84.519333,74.84201,117.451881,53.146019,103.133507,95.925987,107.512772,61.912766,66.894073,51.24826,103.015106,26.783966,62.262993,104.389259,29.799038,73.689682
312,67.827629,28.481794,49.824001,23.966492,63.71883,44.967102,68.531555,80.366112,68.179596,78.914047,88.175812,66.795258,45.023033,70.412247,84.340919,74.442955,116.233482,53.268654,102.52861,94.573196,104.911476,62.044395,64.879364,50.002235,102.556633,26.80736,61.664448,102.974892,29.363955,73.080742
313,67.409912,27.842638,49.536324,25.454803,63.186352,44.42556,69.264503,80.146805,68.337227,77.404961,87.322159,67.251831,44.770035,69.686905,84.165085,74.049706,115.03273,53.389515,101.932487,93.239914,102.347763,62.174088,62.89373,48.774208,102.104744,26.830378,61.074554,101.580917,28.93512,72.480598
314,66.791069,27.911352,48.958168,25.668547,62.559593,44.831062,68.773437,80.109863,68.211403,77.178467,87.107185,67.184402,44.369202,68.809311,83.909058,73.70723,113.457954,52.952488,101.543678,92.020958,101.38131,62.472057,62.00071,48.045017,101.000648,27.160564,60.658386,100.792961,28.863493,72.280556
315,66.001701,28.568636,48.135433,24.824184,61.851036,46.025837,67.262459,80.224411,67.849396,78.016701,87.421898,66.681114,43.843307,67.800377,83.585007,73.405136,111.56385,52.049412,101.325165,90.890366,101.737053,62.911488,62.010738,47.726402,99.348579,27.747759,60.384373,100.504288,29.088314,72.411942
316,65.215736,29.223124,47.316284,23.983479,61.145573,47.215534,65.757942,80.33847,67.488953,78.851341,87.735268,66.180046,43.319695,66.795784,83.26236,73.104347,109.677879,51.150234,101.10759,89.764595,102.091225,63.349079,62.020775,47.409176,97.703568,28.332422,60.111549,100.216888,29.312195,72.542778
317,64.67173,30.227232,46.738258,23.265629,60.765884,48.250786,64.602715,80.284691,66.858009,79.259094,87.626724,65.690628,43.308807,66.132477,82.764328,72.994362,107.925819,50.564594,100.766777,88.755882,102.210289,63.611626,62.17485,47.363213,96.59832,28.994595,59.85434,99.861977,29.612776,72.673264
318,64.869652,32.285076,46.900043,22.928986,61.381512,48.805519,64.52227,79.720535,65.41021,78.363403,86.235367,65.241676,44.858498,66.514565,81.737473,73.466232,106.599113,50.939095,100.054428,88.113632,101.612518,63.33881,62.765862,48.143112,97.14698,29.885798,59.647175,99.305237,30.143719,72.801254
